City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,namibe,-15.1961,12.1522,19.9,82,100,2.14,AO,1730854368
83,jimma,7.6667,36.8333,12.4,87,3,0.59,ET,1730854370
84,charlottetown,46.2352,-63.1267,11.54,95,100,6.69,CA,1730854371
85,horqueta,-23.3428,-57.0597,23.07,94,99,1.64,PY,1730854373
86,cill airne,52.05,-9.5167,14.25,99,100,1.87,IE,1730854374
87,udachny,66.4167,112.4,-7.4,96,100,1.48,RU,1730854375
88,aykhal,66.0,111.5,-5.74,93,100,2.59,RU,1730854376
89,new plymouth,-39.0667,174.0833,17.67,100,100,0.58,NZ,1730854377
90,hakha,22.65,93.6167,14.23,91,99,1.27,MM,1730854378
91,kununurra,-15.7667,128.7333,34.99,38,5,3.6,AU,1730854380
92,isla mujeres,21.2311,-86.731,26.03,85,0,2.87,MX,1730854381
93,flying fish cove,-10.4217,105.6791,27.82,83,100,6.17,CX,1730854382
94,san antonio de pale,-1.4014,5.6325,25.48,85,100,3.91,GQ,1730854383
95,blackmans bay,-43.0167,147.3167,25.07,43,100,2.24,AU,1730854384
96,choibalsan,48.0667,114.5,-5.62,73,12,2.64,MN,1730854385
97,natchez,31.5604,-91.4032,22.69,94,0,3.6,US,1730854386
98,alice springs,-23.7,133.8833,31.75,33,20,5.14,AU,1730854387
99,iskateley,67.6803,53.1512,-5.89,93,32,4.17,RU,1730854388
100,hawaiian paradise park,19.5933,-154.9731,27.73,82,40,3.6,US,1730854390
101,maintirano,-18.0667,44.0167,25.16,71,99,1.85,MG,1730854391
102,qaqortoq,60.7167,-46.0333,-13.26,85,5,2.26,GL,1730854392
103,lihue,21.9789,-159.3672,26.77,86,0,2.06,US,1730854029
104,tidjikja,18.5564,-11.4271,26.43,16,0,5.21,MR,1730854394
105,la ronge,55.1001,-105.2842,-0.86,80,100,4.63,CA,1730854395
106,coquimbo,-29.9533,-71.3436,14.85,72,0,4.12,CL,1730854396
107,jesenice,46.4306,14.0669,4.74,82,100,0.57,SI,1730854397
108,handan,36.6006,114.4678,11.1,32,0,2.96,CN,1730854398
109,luanda,-8.8368,13.2343,25.0,83,75,2.06,AO,1730854400
110,aasiaat,68.7098,-52.8699,-10.73,86,40,0.56,GL,1730854401
111,laguna,38.421,-121.4238,20.59,26,0,7.72,US,1730854402
112,merizo village,13.2658,144.6691,30.32,89,95,5.67,GU,1730854403
113,kadnikov,59.5022,40.338,-1.6,72,100,1.86,RU,1730854404
114,howard springs,-12.497,131.047,32.15,62,34,2.76,AU,1730854405
115,luderitz,-26.6481,15.1594,19.59,37,27,5.42,NA,1730854406
116,san patricio,28.017,-97.5169,21.97,58,0,2.82,US,1730854407
117,brandon,27.9378,-82.2859,26.09,91,75,5.36,US,1730854408
118,kavalerovo,44.2661,135.0572,-1.31,57,67,6.02,RU,1730854410
119,bakchar,57.0186,82.0711,-2.37,80,100,2.0,RU,1730854411
120,funafuti,-8.5243,179.1942,29.0,74,75,3.09,TV,1730854412
121,port elizabeth,-33.918,25.5701,10.16,100,0,1.03,ZA,1730854414
122,colonia,50.9333,6.95,6.62,90,100,2.06,DE,1730854415
123,tsiombe,-25.3,45.4833,21.62,90,80,3.24,MG,1730854417
124,invercargill,-46.4,168.35,18.34,55,11,0.89,NZ,1730854213
125,west island,-12.1568,96.8225,26.99,89,75,9.26,CC,1730854420
126,sikonge,-5.6333,32.7667,19.2,89,100,1.24,TZ,1730854421
127,dawei,14.0833,98.2,25.15,80,100,4.39,MM,1730854422
128,el sauzal de rodriguez,31.9,-116.6833,15.46,53,1,0.84,MX,1730854423
129,naze,28.3667,129.4833,20.51,62,100,7.97,JP,1730854424
130,constantia,44.1833,28.65,-1.62,51,0,1.67,RO,1730854425
131,yellowknife,62.456,-114.3525,-4.13,100,100,2.68,CA,1730854426
132,trzebiatow,54.0615,15.2648,4.36,75,100,1.92,PL,1730854427
133,sanctuary point,-35.1114,150.629,26.58,55,14,7.31,AU,1730854428
134,arteche,12.2645,125.4048,28.67,71,61,0.89,PH,1730854430
135,villa constitucion,-33.2278,-60.3297,17.21,42,0,2.83,AR,1730854431
136,fort bragg,35.139,-79.006,21.01,79,61,0.45,US,1730854432
137,gunjur,13.2019,-16.7339,26.04,100,0,2.06,GM,1730854433
138,ishigaki,24.3448,124.1572,24.07,64,75,10.8,JP,1730854434
139,kodiak,57.79,-152.4072,5.73,75,100,9.77,US,1730854435
140,kingston,17.997,-76.7936,26.53,89,100,8.75,JM,1730854436
141,badger,64.8,-147.5333,0.14,73,75,2.57,US,1730854437
142,susuman,62.7833,148.1667,-26.73,99,100,0.6,RU,1730854438
143,obo,5.3998,26.4869,20.03,72,65,1.21,CF,1730854440
144,skelleftea,64.7507,20.9528,7.2,98,6,5.14,SE,1730854441
145,carnarvon,-24.8667,113.6333,21.74,57,1,9.62,AU,1730854442
146,lebu,-37.6167,-73.65,11.59,88,100,2.83,CL,1730854443
147,nantucket,41.2835,-70.0995,15.08,94,0,6.69,US,1730854444
148,haiku-pauwela,20.9219,-156.3051,27.36,80,40,9.39,US,1730854445
149,belomorsk,64.5232,34.7668,1.34,96,100,5.07,RU,1730854446
150,amboasary,-25.0333,46.3833,21.8,87,6,2.95,MG,1730854447
151,ranau,5.9538,116.6641,25.75,76,75,0.67,MY,1730854448
152,ceerigaabo,10.6162,47.368,16.44,78,65,2.36,SO,1730854451
153,bonthe,7.5264,-12.505,25.66,86,0,1.7,SL,1730854452
154,houlton,46.1262,-67.8403,11.23,89,20,5.14,US,1730854453
155,thompson,55.7435,-97.8558,-0.91,80,75,3.09,CA,1730854454
156,tateyama,34.9833,139.8667,16.71,83,73,4.33,JP,1730854455
157,mwandiga,-4.83,29.6581,21.88,83,100,1.6,TZ,1730854456
158,lianghu,29.9915,120.8985,14.92,64,0,2.94,CN,1730854457
159,kapa'a,22.0752,-159.319,27.18,88,0,2.06,US,1730854458
160,abaete,-19.16,-45.4458,19.15,97,100,1.7,BR,1730854460
161,jijiga,9.35,42.8,18.76,64,100,1.52,ET,1730854461
162,amga,60.8953,131.9608,-22.97,95,47,0.88,RU,1730854462
163,margaret river,-33.95,115.0667,14.02,55,100,5.69,AU,1730854463
164,plastun,44.7561,136.2939,1.27,54,100,2.67,RU,1730854464
165,labrador city,52.9463,-66.9114,1.95,89,100,4.63,CA,1730854465
166,tha khanon,9.0302,98.9529,23.9,90,97,1.3,TH,1730854466
167,margate,51.3813,1.3862,9.93,84,64,3.38,GB,1730854467
168,fale old settlement,-9.3852,-171.2468,28.45,66,90,5.25,TK,1730854468
169,tomatlan,19.9333,-105.25,23.9,91,43,1.45,MX,1730854470
170,nar'yan-mar,67.6713,53.087,-5.93,93,29,4.2,RU,1730854471
171,wenling,28.3669,121.36,15.5,70,0,7.21,CN,1730854472
172,keflavik,64.0049,-22.5624,6.24,100,100,12.35,IS,1730854473
173,ketchikan,55.3422,-131.6461,6.99,87,100,9.26,US,1730854474
174,shalya,57.2471,58.7298,-4.99,90,100,4.12,RU,1730854475
175,hithadhoo,-0.6,73.0833,28.06,72,19,3.6,MV,1730854476
176,cabo san lucas,22.8909,-109.9124,22.1,68,0,3.91,MX,1730854477
177,kudahuvadhoo,2.6708,72.8944,27.99,75,82,3.72,MV,1730854478
178,lanxi,29.2195,119.477,15.28,67,0,1.51,CN,1730854480
179,queenstown,-31.8976,26.8753,7.3,91,100,2.88,ZA,1730854481
180,vorgashor,67.5833,63.95,-4.39,94,100,6.11,RU,1730854482
181,brummen,52.09,6.1556,5.54,95,100,0.51,NL,1730854483
182,sidi bennour,32.6524,-8.4277,18.88,69,6,4.33,MA,1730854484
183,tolanaro,-25.0319,46.9987,23.04,88,40,9.26,MG,1730854485
184,natal,-5.795,-35.2094,25.36,78,40,3.6,BR,1730854356
185,bouar,5.934,15.596,18.46,69,6,1.81,CF,1730854489
186,remire-montjoly,4.9167,-52.2667,26.02,89,0,0.51,GF,1730854490
187,kone,-21.0595,164.8658,28.68,46,73,1.23,NC,1730854491
188,vilyuchinsk,52.9306,158.4028,0.15,68,52,3.97,RU,1730854492
189,belyy yar,53.6039,91.3903,-1.06,100,0,3.0,RU,1730854493
190,ilulissat,69.2167,-51.1,-7.99,73,75,0.0,GL,1730854494
191,gadzhiyevo,69.2551,33.3362,3.75,81,100,11.43,RU,1730854495
192,kohlu,29.8962,69.252,16.23,50,0,0.41,PK,1730854496
193,kidal,18.4411,1.4078,22.7,24,0,5.26,ML,1730854497
194,al burayqah,30.4062,19.5739,20.36,69,64,4.7,LY,1730854499
195,pangody,65.85,74.4859,-5.55,94,100,7.79,RU,1730854500
196,remchi,35.062,-1.4336,15.23,100,75,1.54,DZ,1730854501
197,antofagasta,-23.65,-70.4,16.6,85,51,1.68,CL,1730854503
198,isafjordur,66.0755,-23.124,5.51,91,92,4.36,IS,1730854504
199,ancud,-41.8697,-73.8203,10.04,81,100,5.93,CL,1730854505
200,corn island,12.1694,-83.0418,27.96,78,43,1.63,NI,1730854506
201,dudinka,69.4058,86.1778,-4.88,94,100,8.82,RU,1730854507
202,sattahip,12.6664,100.9007,26.05,78,40,3.09,TH,1730854509
203,viedma,-40.8135,-62.9967,20.19,20,94,3.37,AR,1730854510
204,chaeryong-up,38.3992,125.6156,6.31,46,0,6.08,KP,1730854511
205,kailua-kona,19.6406,-155.9956,29.2,80,0,4.63,US,1730854513
206,port mathurin,-19.6833,63.4167,23.99,83,22,8.68,MU,1730854514
207,cox's bazar,21.4532,91.9798,22.67,86,3,3.07,BD,1730854515
208,arrifes,37.7667,-25.7,19.14,88,40,11.83,PT,1730854516
209,fortuna,40.5982,-124.1573,13.29,69,0,4.12,US,1730854517
210,codrington,-38.2667,141.9667,23.68,54,100,9.94,AU,1730854519
211,hasaki,35.7333,140.8333,15.64,87,100,10.87,JP,1730854521
212,afaahiti,-17.75,-149.2833,26.0,82,100,2.87,PF,1730854522
213,krasnoturansk,54.3186,91.5639,-0.84,69,100,1.18,RU,1730854523
214,orerokpe,5.6351,5.8896,24.65,90,10,1.38,NG,1730854524
215,bim son,20.0781,105.8603,21.59,83,100,2.3,VN,1730854525
216,sidney,-33.8679,151.2073,28.5,65,40,6.17,AU,1730854452
217,ribadesella,43.4614,-5.0596,16.74,75,0,1.82,ES,1730854527
218,chonchi,-42.6128,-73.8092,8.4,87,44,2.72,CL,1730854529
219,kattivakkam,13.2167,80.3167,27.2,87,24,5.98,IN,1730854530
220,newman,37.3138,-121.0208,19.46,28,49,4.47,US,1730854531
221,olyokminsk,60.3736,120.4264,-18.62,92,23,1.58,RU,1730854532
222,thurso,58.5927,-3.5259,8.14,85,66,3.89,GB,1730854533
223,inhambane,-23.865,35.3833,22.81,84,6,1.5,MZ,1730854534
224,la'ie,21.6477,-157.9253,27.98,80,28,2.24,US,1730854535
225,kiruna,67.8557,20.2251,-1.49,80,75,2.06,SE,1730854536
226,lamesa,32.7376,-101.951,14.89,30,0,2.6,US,1730854537
227,motygino,58.1831,94.7592,-4.83,97,100,1.36,RU,1730854539
228,tabuk,17.4189,121.4443,23.55,92,100,3.7,PH,1730854540
229,kodinsk,58.6881,99.1844,-6.49,98,73,1.4,RU,1730854541
230,la passe,45.5549,-0.8967,15.06,85,97,1.21,FR,1730854542
231,hamilton,39.1834,-84.5333,23.21,69,100,7.72,US,1730854543
232,guerrero negro,27.9769,-114.0611,18.06,58,6,4.99,MX,1730854544
233,hit,33.6416,42.8251,18.27,57,0,2.22,IQ,1730854545
234,tofol,5.3248,163.0078,31.88,66,75,4.63,FM,1730854546
235,banda aceh,5.5577,95.3222,25.94,81,100,4.91,ID,1730854549
236,harstad,68.799,16.5293,5.64,91,100,11.18,NO,1730854550
237,molina,-35.1167,-71.2833,19.85,32,100,4.63,CL,1730854551
238,jinchang,38.4953,102.1739,7.97,29,0,1.02,CN,1730854553
239,bikenibeu village,1.3673,173.1241,29.98,74,20,1.54,KI,1730854554
240,gevas,38.2968,43.1083,-0.22,64,9,0.89,TR,1730854555
241,usinsk,65.9939,57.5281,-7.15,96,100,4.89,RU,1730854557
242,dhidhdhoo,6.8833,73.1,27.51,72,24,0.63,MV,1730854558
243,puerto carreno,6.189,-67.4859,29.99,66,40,2.57,CO,1730854559
244,murgeni,46.2044,28.0197,1.58,53,9,1.79,RO,1730854560
245,holualoa,19.6228,-155.9522,27.13,81,0,4.63,US,1730854561
246,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,47,0,3.0,RU,1730854453
247,illapel,-31.6308,-71.1653,12.99,64,0,0.75,CL,1730854563
248,san jose del guaviare,2.5729,-72.6459,25.48,81,100,1.04,CO,1730854564
249,lerwick,60.1545,-1.1494,10.05,85,100,4.05,GB,1730854565
250,tevriz,57.509,72.4042,-3.46,80,100,1.71,RU,1730854567
251,dzepciste,42.0328,21.0,5.59,67,5,1.16,MK,1730854568
252,sao gabriel da cachoeira,-0.1303,-67.0892,23.64,93,0,0.81,BR,1730854569
253,vilyuysk,63.7553,121.6247,-16.85,84,47,4.24,RU,1730854570
254,hadibu,12.65,54.0333,26.08,80,12,2.97,YE,1730854571
255,anadyr,64.75,177.4833,-6.72,79,20,8.0,RU,1730854572
256,mili,6.0815,171.735,29.14,76,100,7.59,MH,1730854573
257,nouadhibou,20.931,-17.0347,22.99,60,0,6.69,MR,1730854574
258,nova sintra,14.8667,-24.7167,26.1,79,0,10.29,CV,1730854575
259,christchurch,-43.5333,172.6333,19.67,72,20,7.72,NZ,1730854308
260,yanam,16.7333,82.2167,23.65,84,18,1.68,IN,1730854578
261,sitka,57.0531,-135.33,8.94,71,100,11.32,US,1730854295
262,gillette,44.2911,-105.5022,1.68,74,40,8.23,US,1730854373
